SMC2B,San Miguel Corporation Series 2-B Pref.,75.2 (0.00%),75.2,91 (21.01%),75,,4.29 (5.70%)
SMC2C,San Miguel Corporation Series 2-C Pref.,76.15 (0.20%),76,82.95 (8.93%),75,,4.50 (5.91%)
SMC2D,San Miguel Corporation Series 2-D Pref.,72.8 (-0.27%),73,78.5 (7.83%),70,,3.34 (4.59%)
SMC2E,San Miguel Corporation Series 2-E Pref.,74.95 (0.00%),74.95,79 (5.40%),72.5,,3.56 (4.75%)
SMC2F,San Miguel Corporation Series 2-F Pref.,74.3 (0.00%),74.3,82.7 (11.31%),74,,3.83 (5.15%)
SMC2G,San Miguel Corporation Series 2-G Pref.,73.65 (-1.14%),74.5,79.2 (7.54%),73.5,,3.70 (5.02%)
SMC2H,San Miguel Corporation Series 2-H Pref.,73.9 (0.00%),73.9,79.6 (7.71%),72,,3.56 (4.82%)
SMC2I,San Miguel Corporation Series 2-I Pref.,73.5 (0.00%),73.5,81.7 (11.16%),72.65,,3.56 (4.84%)
SMPH,"SM Prime Holdings, Inc.",33.3 (-0.89%),33.6,39.7 (19.22%),31.45,33.91,0.26 (0.78%)
SOC,"SOCResources, Inc.",0.81 (0.00%),0.81,1.1 (35.80%),0.71,6.398,
SPC,SPC Power Corporation,5.25 (-1.32%),5.32,7 (33.33%),4.8,5.303,0.80 (15.24%)
SPM,Seafront Resources Corporation,2.28 (-0.44%),2.29,3.34 (46.49%),2.23,114.00,
SRDC,Supercity Realty Development Corporation,0.8 (0.00%),0.8,0.8 (0.00%),0.8,,
SSI,"SSI Group, Inc.",2.49 (-8.12%),2.71,3.64 (46.18%),1.8,,
SSP,SFA Semicon Philippines Corporation,1.21 (-0.82%),1.22,2.98 (146.28%),1.16,,
STI,"STI Education Systems Holdings, Inc.",0.6 (-1.64%),0.61,1.82 (203.33%),0.52,8.108,0.02 (3.33%)
STR,"Starmalls, Inc.",3.94 (-3.19%),4.07,32 (712.18%),3.7,33.675,0.04 (1.02%)
SUN,"Suntrust Home Developers, Inc.",0.72 (0.00%),0.72,0.92 (27.78%),0.68,45.00,
T,TKC Metals Corporation,0.86 (3.61%),0.83,1.45 (68.60%),0.82,-1.72,
TBGI,Transpacific Broadband Group Int'l. Inc.,0.365 (2.82%),0.355,0.84 (130.14%),0.185,67.593,
TECH,Cirtek Holdings Philippines Corporation,36.7 (0.82%),36.4,65 (77.11%),28.5,60.164,0.00 (0.00%)
TEL,"PLDT, Inc.",1225 (0.74%),1216,1691 (38.04%),1100,12.027,76.00 (6.20%)
TFC,PTFC Redevelopment Corporation,29.2 (0.00%),29.2,59.9 (105.14%),28.65,34.762,
TFHI,"Top Frontier Investment Holdings, Inc.",281 (0.00%),281,320 (13.88%),251,,
TUGS,"Harbor Star Shipping Services, Inc.",3.26 (0.31%),3.25,6.09 (86.81%),2.32,,
UBP,Union Bank of the Philippines,65.9 (0.08%),65.85,90.02 (36.60%),64.5,11.602,
UNI,"Unioil Resources and Holdings Co., Inc.",0.246 (0.00%),0.246,0.31 (26.02%),0.21,585.714,
UPM,United Paragon Mining Corporation,0.0059 (-3.28%),0.0061,0.012 (103.39%),0.0056,-29.50,
URC,Universal Robina Corporation,131 (0.77%),130,174 (32.82%),111.3,23.063,
V,"Vantage Equities, Inc.",1.14 (0.00%),1.14,1.34 (17.54%),1.14,17.015,
VITA,Vitarich Corporation,1.48 (-3.27%),1.53,4.2 (183.78%),1.29,493.333,
VLL,"Vista Land and Lifescapes, Inc.",5.2 (0.00%),5.2,7.3 (40.38%),5.01,8.36,0.13 (2.50%)
VMC,"Victorias Milling Company, Inc.",2.32 (0.00%),2.32,3.2 (37.93%),2.32,5.524,
VUL,Vulcan Industrial and Mining Corporation,1.46 (-0.68%),1.47,2.95 (102.05%),0.6,14.703,
VVT,Vivant Corporation,18.5 (0.00%),18.5,29.95 (61.89%),16,17.979,0.28 (1.51%)
WEB,Philweb Corporation,2.98 (-1.32%),3.02,9.4 (215.44%),2.86,4.016,
WIN,"Wellex Industries, Inc.",0.23 (-2.13%),0.235,0.42 (82.61%),0.172,-25.556,
WLCON,"Wilcon Depot, Inc.",11.8 (-3.44%),12.22,12.64 (7.12%),8,,
WPI,"Waterfront Philippines, Inc.",0.485 (0.00%),0.485,1.35 (178.35%),0.45,9.51,
X,Xurpas Inc.,1.05 (-14.63%),1.23,5.93 (464.76%),1.05,,0.05 (4.76%)
ZHI,"Zeus Holdings, Inc.",0.192 (0.00%),0.192,0.28 (45.83%),0.15,-800.00,
