CEI,"Crown Equities, Inc.",0.219 (-0.45%),0.22,0.385 (75.80%),0.2,438.00,
CEU,Centro Escolar University,7.89 (0.00%),7.89,9.38 (18.88%),6.14,8.484,0.20 (2.53%)
CHI,"Cebu Holdings, Inc.",5.99 (-0.17%),6,8.9 (48.58%),5,13.93,0.15 (2.50%)
CHIB,China Banking Corporation,27.35 (-1.44%),27.75,37.5 (37.11%),27.35,9.782,0.80 (36.56%)
CHP,"Cemex Holdings Philippines, Inc.",1.9 (-3.55%),1.97,5.53 (191.05%),1.89,,
CIC,Concepcion Industrial Corporation,36.9 (2.50%),36,67.5 (82.93%),33.45,,1.00 (13.55%)
CIP,Chemical Industries of the Phils.,171.8 (0.00%),171.8,460 (167.75%),151.1,,17.17 (9.99%)
CLC,Chelsea Logistics Holdings Corp.,7.81 (-8.01%),8.49,9.79 (25.35%),4.4,,
CLI,"Cebu Landmasters, Inc.",3.9 (1.56%),3.84,5.12 (31.28%),3.6,,
CNPF,"Century Pacific Food, Inc.",14.3 (2.14%),14,17.8 (24.48%),12.9,,0.18 (1.26%)
COAL,"Coal Asia Holdings, Inc.",0.29 (-1.69%),0.295,0.38 (31.03%),0.285,,
COL,"COL Financial Group, Inc.",15.5 (0.00%),15.5,16.82 (8.52%),15,28.182,0.60 (3.87%)
COSCO,"Cosco Capital, Inc.",7 (-4.37%),7.32,7.9 (12.86%),5.6,,0.10 (1.43%)
CPG,"Century Properties Group, Inc.",0.4 (-1.23%),0.405,0.53 (32.50%),0.38,3.077,0.02 (5.00%)
CPM,Century Peak Metals Holdings Corporation,1.9 (-0.52%),1.91,2.09 (10.00%),1.51,15.833,
CPV,"Cebu Property Venture and Dev't Corp.""A""",6.8 (0.00%),6.8,9.15 (34.56%),5.66,,
CPVB,"Cebu Property Venture and Dev't Corp.""B""",7 (0.00%),7,9 (28.57%),5.52,13.208,
CROWN,Crown Asia Chemicals Corporation,1.35 (0.00%),1.35,2.21 (63.70%),1.32,,0.09 (6.67%)
CSB,Citystate Savings Bank,7.59 (0.00%),7.59,10 (31.75%),3.5,,
CYBR,Cyber Bay Corporation,0.35 (7.69%),0.325,0.53 (51.43%),0.32,-7.447,
DAVIN,"Da Vinci Capital Holdings, Inc.",5.6 (3.13%),5.43,7.3 (30.36%),4,,
DD,DoubleDragon Properties Corp.,18.1 (-1.42%),18.36,42.1 (132.60%),17.14,,
DDPR,DoubleDragon Properties Corp. Pref.,97.95 (-0.05%),98,106.9 (9.14%),94.5,,4.86 (4.96%)
DFNN,"DFNN, Inc.",7.56 (-5.26%),7.98,10 (32.28%),6.5,36.00,
DIZ,"Dizon Copper Silver Mines, Inc.",7.01 (0.43%),6.98,8.8 (25.53%),6.8,-116.833,
DMC,"DMCI Holdings, Inc.",12.8 (1.59%),12.6,15.18 (18.59%),9.82,13.196,0.48 (3.75%)
